SYMBOL	INSTRUMENT_KEY	
360ONE	NSE_EQ|INE466L01038	
ABB	NSE_EQ|INE117A01022	
ABCAPITAL	NSE_EQ|INE674K01013	
ADANIENSOL	NSE_EQ|INE931S01010	
ADANIENT	NSE_EQ|INE423A01024	
ADANIGREEN	NSE_EQ|INE364U01010	
ADANIPORTS	NSE_EQ|INE742F01042	
ADANIPOWER	NSE_EQ|INE814H01029	
ALKEM	NSE_EQ|INE540L01014	
AMBER	NSE_EQ|INE371P01015	
AMBUJACEM	NSE_EQ|INE079A01024	
ANGELONE	NSE_EQ|INE732I01021	
APLAPOLLO	NSE_EQ|INE702C01027	
APOLLOHOSP	NSE_EQ|INE437A01024	
ASHOKLEY	NSE_EQ|INE208A01029	
ASIANPAINT	NSE_EQ|INE021A01026	
ASTRAL	NSE_EQ|INE006I01046	
AUBANK	NSE_EQ|INE949L01017	
AUROPHARMA	NSE_EQ|INE406A01037	
AXISBANK	NSE_EQ|INE238A01034	
BAJAJ-AUTO	NSE_EQ|INE917I01010	
BAJAJFINSV	NSE_EQ|INE918I01026	
BAJAJHLDNG	NSE_EQ|INE118A01012	
BAJFINANCE	NSE_EQ|INE296A01032	
BANDHANBNK	NSE_EQ|INE545U01014	
BANKBARODA	NSE_EQ|INE028A01039	
BANKINDIA	NSE_EQ|INE084A01016	
BDL	NSE_EQ|INE171Z01026	
BEL	NSE_EQ|INE263A01024	
BHARATFORG	NSE_EQ|INE465A01025	
BHARTIARTL	NSE_EQ|INE397D01024	
BHEL	NSE_EQ|INE257A01026	
BIOCON	NSE_EQ|INE376G01013	
BLUESTARCO	NSE_EQ|INE472A01039	
BOSCHLTD	NSE_EQ|INE323A01026	
BPCL	NSE_EQ|INE029A01011	
BRITANNIA	NSE_EQ|INE216A01030	
BSE	NSE_EQ|INE118H01025	
CAMS	NSE_EQ|INE596I01020	
CANBK	NSE_EQ|INE476A01022	
CDSL	NSE_EQ|INE736A01011	
CGPOWER	NSE_EQ|INE067A01029	
CHOLAFIN	NSE_EQ|INE121A01024	
CIPLA	NSE_EQ|INE059A01026	
COALINDIA	NSE_EQ|INE522F01014	
COCHINSHIP	NSE_EQ|INE704P01025	
COFORGE	NSE_EQ|INE591G01025	
COLPAL	NSE_EQ|INE259A01022	
CONCOR	NSE_EQ|INE111A01025	
CROMPTON	NSE_EQ|INE299U01018	
CUMMINSIND	NSE_EQ|INE298A01020	
DABUR	NSE_EQ|INE016A01026	
DALBHARAT	NSE_EQ|INE00R701025	
